intent,response
promotion,"We're not offering any promotional offers right now."
promotion,"Unfortunately, there are no promotions available currently."
promotion,"Sorry, no promotional deals are active at this time."
promotion,"We don't have any special offers running at the moment."
promotion,"There are no current promotions available right now."
promotion,"Unfortunately, we're not running any special deals currently."
promotion,"No promotional offers are in effect at this time."
promotion,"Sorry, there are no available promotions right now."
promotion,"We don't have any active promotional deals at the moment."
promotion,"Unfortunately, no special offers are running currently."
promotion,"There are no promotional discounts available right now."
promotion,"Sorry, we're not offering any promotions at this time."
promotion,"No current promotional deals are available at the moment."
promotion,"We don't have any special offers going on currently."
promotion,"Unfortunately, there are no active promotions right now."
promotion,"Sorry, no promotional offers are available at this time."
promotion,"There are no special deals running at the moment."
promotion,"We're not running any current promotional offers."
promotion,"Unfortunately, no promotions are active right now."
promotion,"Sorry, there are no promotional discounts currently available."
promotion,"We don't have any special deals at this time."
promotion,"No promotional offers are running at the moment."
promotion,"Unfortunately, we're not offering any promotions currently."
promotion,"Sorry, there are no active promotional deals right now."
promotion,"We don't have any current special offers available."
promotion,"No promotions are available at this time, unfortunately."
promotion,"Sorry, we're not running any special deals at the moment."
promotion,"There are no promotional offers active currently."
promotion,"We don't have any promotional discounts right now."
promotion,"Unfortunately, no special offers are available at this time."
promotion,"Sorry, there are no current promotional deals running."
promotion,"We're not offering any promotions at the moment."
promotion,"No active promotional offers are available right now."
promotion,"Unfortunately, we don't have any special deals currently."
promotion,"Sorry, there are no promotions running at this time."
promotion,"We don't have any promotional offers available at the moment."
promotion,"No special deals are active right now, unfortunately."
promotion,"Sorry, we're not running any current promotions."
promotion,"There are no promotional discounts available at this time."
promotion,"We don't have any active special offers at the moment."
promotion,"Unfortunately, no promotional deals are running currently."
promotion,"Sorry, there are no available promotions right now."
promotion,"We're not offering any special deals at this time."
promotion,"No current promotional offers are active at the moment."
promotion,"Unfortunately, we don't have any promotions available currently."
promotion,"Sorry, there are no special offers running right now."
promotion,"We don't have any promotional deals at this time."
promotion,"No active promotions are available at the moment."
promotion,"Unfortunately, we're not running any special offers currently."
promotion,"Sorry, there are no promotional discounts right now."
promotion,"We don't have any current promotional deals available."
promotion,"No special offers are running at this time, unfortunately."
promotion,"Sorry, we're not offering any promotions at the moment."
promotion,"There are no active promotional offers currently available."
promotion,"We don't have any promotional deals going on at this time."
promotion,"Unfortunately, no special offers are active right now."
promotion,"Sorry, there are no current promotions running at the moment."
promotion,"We're not running any promotional discounts currently."
promotion,"No promotional offers are available right now, unfortunately."
promotion,"Sorry, we don't have any active special deals at this time."
promotion,"There are no promotional offers running at the moment."
promotion,"We don't have any current promotions available right now."
promotion,"Unfortunately, no special deals are active at this time."
promotion,"Sorry, we're not offering any promotional offers currently."
promotion,"There are no available promotional discounts at the moment."
promotion,"We don't have any special offers active right now."
promotion,"No current promotional deals are running at this time."
promotion,"Unfortunately, we're not running any promotions at the moment."
promotion,"Sorry, there are no special offers available currently."
promotion,"We don't have any promotional offers going on right now."
promotion,"No active promotional deals are available at this time."
promotion,"Unfortunately, there are no current promotions running."
promotion,"Sorry, we're not offering any special deals at the moment."
promotion,"There are no promotional discounts active right now."
promotion,"We don't have any current special offers available at this time."
menu,"Our menu features options like Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Check out our drinks: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Available now: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"We proudly serve: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"At our shop, you’ll find: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"At our shop, you’ll find: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Our café offers: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Our café offers: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Available now: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Try something from our selection: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"At our shop, you’ll find: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Our menu features options like Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Available now: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Here's what you can order: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Come enjoy our drinks: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Check out our drinks: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Our café offers: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"We serve a variety of drinks including Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"We proudly serve: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"At our shop, you’ll find: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Here's what you can order: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Here's what you can order: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Here's what you can order: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"We proudly serve: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Our menu features options like Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Here's what you can order: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Come enjoy our drinks: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Our café offers: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"We serve a variety of drinks including Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"We serve a variety of drinks including Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Available now: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Here's what you can order: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Our menu features options like Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Here's what you can order: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Our café offers: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Our café offers: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Available now: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Available now: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Try something from our selection: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Our café offers: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Check out our drinks: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Our menu features options like Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Available now: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Our café offers: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Try something from our selection: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Our café offers: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Come enjoy our drinks: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Our café offers: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Our café offers: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"We proudly serve: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Try something from our selection: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Our café offers: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"At our shop, you’ll find: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Our café offers: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"We serve a variety of drinks including Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Our menu features options like Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"We proudly serve: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Come enjoy our drinks: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Try something from our selection: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Our menu features options like Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"We proudly serve: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Check out our drinks: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Check out our drinks: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Check out our drinks: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Here's what you can order: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Try something from our selection: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"We proudly serve: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Here's what you can order: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Come enjoy our drinks: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Try something from our selection: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Our menu features options like Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Our café offers: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Try something from our selection: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Check out our drinks: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Our café offers: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Come enjoy our drinks: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Here's what you can order: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Available now: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"We serve a variety of drinks including Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"At our shop, you’ll find: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"We proudly serve: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Come enjoy our drinks: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"We proudly serve: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Come enjoy our drinks: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"At our shop, you’ll find: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"We serve a variety of drinks including Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"We proudly serve: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"At our shop, you’ll find: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Our menu features options like Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Check out our drinks: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Check out our drinks: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Our café offers: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Come enjoy our drinks: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Here's what you can order: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Our café offers: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Try something from our selection: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"We serve a variety of drinks including Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Here's what you can order: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Our menu features options like Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Try something from our selection: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"We serve a variety of drinks including Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"We serve a variety of drinks including Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"We serve a variety of drinks including Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"We proudly serve: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"At our shop, you’ll find: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"We proudly serve: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"We proudly serve: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"Try something from our selection: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
menu,"We proudly serve: Americano ($4), Capuccino ($3), Latte ($4.2), Mocha ($4.5), White Mocha ($5), Black Tea ($3), Chai Tea ($3), Green Mint ($3.5), Hot Chocolate ($3), Matcha Latte ($4.2)."
